iter	Passed	Remaining
408	912	1318
409	915	1316
410	917	1314
411	919	1312
412	921	1309
413	923	1307
414	926	1305
415	928	1303
416	930	1300
417	932	1298
418	935	1296
419	937	1294
420	939	1291
421	941	1289
422	943	1287
423	946	1285
424	948	1282
425	950	1280
426	952	1278
427	954	1275
428	957	1273
429	959	1271
430	961	1269
431	964	1267
432	966	1265
433	969	1263
434	971	1261
435	973	1259
436	975	1256
437	977	1254
438	979	1252
439	982	1250
440	985	1249
441	988	1247
442	990	1245
443	992	1242
444	994	1240
445	996	1238
446	999	1236
447	1001	1234
448	1003	1231
449	1005	1229
450	1008	1227
451	1010	1224
452	1012	1222
453	1014	1220
